Influencer's Name,Post,Date Created,Engagement,Number of Likes,Platform,Categoria
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/CCZPvX8ADKp/,2020-07-09T07:43:34.428622Z,01.08,3466,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/CCWvGPKggsW/,2020-07-09T07:43:29.541858Z,0.23,729,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/CBypmy6g9fk/,2020-07-09T07:43:16.592599Z,0.9,2896,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/CBkve7igkTJ/,2020-07-09T07:43:06.852305Z,0.23,660,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/CBgosFbgQ--/,2020-07-09T07:43:01.980081Z,1.81,5737,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/CA6Cuq-gSLT/,2020-07-09T07:42:21.155387Z,0.14,437,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/CAkXTcgAN82/,2020-07-09T07:42:01.305239Z,0.15,407,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/CAC_lr7AFYu/,2020-07-09T07:41:44.340769Z,0.15,484,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B_yQgFmAn1Z/,2020-07-09T07:41:23.732396Z,0.19,588,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B_M3i3FgUxu/,2020-07-09T07:41:05.842368Z,0.12,389,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B-wf-J1A1Gb/,2020-07-09T07:40:48.313251Z,1.14,3157,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B-r3is4gLEJ/,2020-07-09T07:40:45.430674Z,0.44,1335,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B-PIEuOgPme/,2020-07-09T07:40:35.669752Z,0.08,246,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B-FyWJkAnYy/,2020-07-09T07:40:20.545733Z,0.38,1219,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B94VOuMAk84/,2020-07-09T07:40:12.861701Z,0.6,1544,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B9zzMzogGLO/,2020-07-09T07:40:11.555372Z,0.48,1502,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B9t_U8bA-J1/,2020-07-09T07:40:08.474070Z,2.36,7165,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B9Y_t9EAiHX/,2020-07-09T07:39:58.287564Z,0.71,2181,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B9O5e9XgYwO/,2020-07-09T07:39:50.482565Z,0.14,472,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B88n4FogBo9/,2020-07-09T07:39:40.528397Z,0.16,522,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B8qm4J2gt_j/,2020-07-09T07:39:35.095909Z,0.28,903,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B8YkjiwA2Wq/,2020-07-09T07:39:29.409397Z,1.69,5571,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B8Mtv_qggbv/,2020-07-09T07:39:25.575693Z,0.04,140,Instagram,institucional
Rede Angeloni (@redeangeloni),https://www.instagram.com/p/B8GjFdqAWDm/,2020-07-09T07:39:17.576022Z,1.62,5332,Instagram,institucional
